,"time_point","S","I","R"
"1",0.,148.5,2.82,0.
"2",.5,148.029791327323,3.22980082536801,.0604078473089133
"3",1.,147.493222487729,3.69720164986865,.129575862402585
"4",1.5,146.881574968195,4.2296953409776,.208729690827483
"5",2.,146.185182817427,4.83556450960617,.299252672966726
"6",2.5,145.393390799356,5.52390728961741,.402701911026945
"7",3.,144.494531375745,6.30464392602743,.520824698227659
"8",3.5,143.475928641183,7.18849646806185,.655574890755576
"9",4.,142.323939406544,8.1869322674262,.80912832603029
"10",4.5,141.024041653912,9.31206163590319,.983896710184779
"11",5.,139.56098158738,10.5764792143329,1.18253919828719
"12",5.5,137.918996355867,11.9930335351745,1.40797010895888
"13",6.,136.082123614356,13.5745161450351,1.66336024060843
"14",6.5,134.034603008027,15.3332644497423,1.95213254223089
"15",7.,131.761392312919,17.2806588544632,2.27794883261759
"16",7.5,129.248787412495,19.4265299734722,2.64468261403279
"17",8.,126.485133384077,21.7784822321053,3.05638438381739
"18",8.5,123.461644373466,24.3411280994826,3.51722752705156
"19",9.,120.173234236607,27.1153251913915,4.03144057200106
"20",9.5,116.619387208885,30.0973851311159,4.60322765999868
"21",10.,112.804937740174,33.2783988254569,5.23666343436899
"22",10.5,108.740715002576,36.6436912162922,5.93559378113185
"23",11.,104.444001028303,40.1724962190067,6.70350275268988
"24",11.5,99.9385998461702,43.8379945984149,7.54340555541491
"25",12.,95.2547380834256,47.6075434370164,8.45771847955793
"26",12.5,90.4282669357219,51.443582265297,9.44815079898117
"27",13.,85.4998264541326,55.3045463091442,10.5156272367233
"28",13.5,80.5134422863626,59.1463524142063,11.6602052994311
"29",14.,75.5148573979173,62.9240891024452,12.8810534996376
"30",14.5,70.5499885295232,66.5935650040792,14.1764464663976
"31",15.,65.6629903238723,70.1132132854536,15.5437963906741
"32",15.5,60.8949023700718,73.4453742663742,16.979723363554
"33",16.,56.2821422116099,76.5577129656798,18.4801448227103
"34",16.5,51.8556792531239,79.4239325639951,20.0403881828811
"35",17.,47.6403613314811,82.0243098558003,21.6553288127186
"36",17.5,43.654718937891,84.3457834768838,23.3194975852253
"37",18.,39.9110843848605,86.3816647693735,25.027250845766
"38",18.5,36.4160753094582,88.131067873535,26.7728568170069
"39",19.,33.1710677913286,89.5983208168071,28.5506113918643
"40",19.5,30.1730552726069,90.7919808691605,30.3549638582326
"41",20.,27.415439779879,91.7240118940188,32.1805483261022
"42",20.5,24.888737149416,92.4089859230836,34.0222769275004
"43",21.,22.5814360550501,92.8631948155889,35.875369129361
"44",21.5,20.4805842819681,93.104033558878,37.7353821591538
"45",22.,18.5724267650124,93.1493464176198,39.5982268173678
"46",22.5,16.842843521786,93.0169849262211,41.460171551993
"47",23.,15.2777632158717,92.7243987442714,43.3178380398569
"48",23.5,13.8634346286164,92.2883740225882,45.1681913487954
"49",24.,12.586657955569,91.7248191615424,47.0085228828887
"50",24.5,11.4349221830522,91.0486443738248,48.836433443123
"51",25.,10.3965051450557,90.2736846354672,50.6498102194772
"52",25.5,9.46052005359981,89.4126726769063,52.4468072694938
"53",26.,8.61693169100561,88.4772471237971,54.2258211851973
"54",26.5,7.85654887335598,87.477979472482,55.985471654162
"55",27.,7.17099388151752,86.4244274901857,57.7245786282968
"56",27.5,6.55266665984092,85.325189046506,59.4421442936531
"57",28.,5.99469324671563,84.1879736064066,61.1373331468777
"58",28.5,5.49087814014021,83.0196658026633,62.8094560571965
"59",29.,5.03564705759316,81.8263994381797,64.4579535042271
"60",29.5,4.62399733520939,80.6136206294709,66.0823820353197
"61",30.,4.25144341424777,79.3861560646301,67.6824005211221
"62",30.5,3.91397014991764,78.1482709766535,69.2577588734288
"63",31.,3.60798524414518,76.9037277035962,70.8082870522586
"64",31.5,3.33027722003177,75.6558370643002,72.333885715668
"65",32.,3.07797655286929,74.4075057872192,73.8345176599114
"66",32.5,2.84851843164823,73.1612815368895,75.3102000314622
"67",33.,2.63961271631948,71.9193894428605,76.76099784082
"68",33.5,2.44921132210758,70.6837712132766,78.1870174646158
"69",34.,2.27548563031975,69.4561125888889,79.5884017807913
"70",34.5,2.11679875248131,68.2378764323716,80.965324815147
"71",35.,1.97168830594925,67.0303236178475,82.3179880762033
"72",35.5,1.83884411189932,65.8345396332862,83.6466162548145
