,"time_point","S","I","R"
"1",0.,148.5,2.82,0.
"2",.5,148.210955119913,3.07956566705227,.0294792130350888
"3",1.,147.895912095871,3.36241898286579,.0616689212632168
"4",1.5,147.552654731388,3.67053349315646,.0968117754558876
"5",2.,147.178801654362,4.00602750458177,.135170841056305
"6",2.5,146.771798059312,4.3711708100598,.177031130628606
"7",3.,146.328908498298,4.76839034174613,.222701159956039
"8",3.5,145.847210791517,5.20027475056769,.27251445791554
"9",4.,145.323589992554,5.6695786428551,.326831364590615
"10",4.5,144.754735502745,6.17922402575262,.386040471502247
"11",5.,144.137137913226,6.7323014942545,.450560592519822
"12",5.5,143.467090464115,7.33206743608613,.52084209979891
"13",6.,142.740691184859,7.98193988472279,.597368930417836
"14",6.5,141.953849984297,8.68549021509926,.680659800603811
"15",7.,141.10229934084,9.44643066784854,.771269991311907
"16",7.5,140.181608430729,10.2685990711715,.86979249809987
"17",8.,139.187206170809,11.1559346919563,.976859137234515
"18",8.5,138.114404521011,12.1124536689185,1.09314181007013
"19",9.,136.958436771578,13.1422109505318,1.21935227788985
"20",9.5,135.714494296764,14.2492620247811,1.35624367845443
"21",10.,134.377779956606,15.4376115278345,1.50460851556
"22",10.5,132.943565931179,16.7111542344834,1.66527983433727
"23",11.,131.407257891841,18.0736140014102,1.83912810674891
"24",11.5,129.764481475089,19.5284585888387,2.0270599360724
"25",12.,128.011156677838,21.0788275014585,2.23001582070346
"26",12.5,126.143603594381,22.7274324382358,2.4489639673835
"27",13.,124.158643314474,24.4764576088344,2.68489907669188
"28",13.5,122.053698745251,26.3274677755685,2.93883347918072
"29",14.,119.8269288988,28.2812801990067,3.21179090219375
"30",14.5,117.47732341741,30.3378749143488,3.50480166824136
"31",15.,115.004826064652,32.4962855474082,3.81888838794001
"32",15.5,112.410455877694,34.7544845002151,4.15505962209094
"33",16.,109.696383035852,37.1093166126385,4.51430035150945
"34",16.5,106.866035581402,39.5564100575965,4.89755436100103
"35",17.,103.92416061253,42.0901227266378,5.30571666083215
"36",17.5,100.876850866236,44.7035266597803,5.73962247398415
"37",18.,97.7316038375319,47.3883690553991,6.20002710706896
"38",18.5,94.4972490417604,50.1351549927179,6.68759596552162
"39",19.,91.1839090616945,52.9331915122115,7.20289942609404
