,"time_point","S","I","R"
"1",0.,99.,1.,0.
"2",.5,98.8965111251421,1.09303053170354,.0104583431543429
"3",1.,98.7835115965345,1.19459933936447,.0218890641010867
"4",1.5,98.6601510973461,1.30546758487424,.034381317779662
"5",2.,98.5255082022648,1.42645964669157,.0480321510436288
"6",2.5,98.3785848245514,1.55846795769281,.0629472177557604
"7",3.,98.2183012874705,1.70245727754539,.0792414349840704
"8",3.5,98.0434907348269,1.85946950922413,.0970397559489314
"9",4.,97.852893551278,2.03062848048225,.116477968239721
"10",4.5,97.6451521432102,2.21714436214278,.137703494646961
"11",5.,97.418804721406,2.42031890776803,.160876370825957
"12",5.5,97.1722809529494,2.64154901241461,.186170034636056
"13",6.,96.903895332814,2.88233215417305,.213772513012916
"14",6.5,96.6118442139431,3.14426862129125,.243887164765618
"15",7.,96.2941994065434,3.4290665209263,.276734072530315
"16",7.5,95.948906985954,3.73854228289132,.312550731154782
"17",8.,95.5737823540426,4.07462406454927,.351593581408101
"18",8.5,95.1665110698014,4.43935025577278,.394138674425866
"19",9.,94.7246473076064,4.8348694959987,.440483196394855
"20",9.5,94.2456168529908,5.26343693368754,.490946213321701
"21",10.,93.7267214140596,5.72740868250379,.54586990343658
"22",10.5,93.1651443903861,6.22923504541584,.605620564198101
"23",11.,92.5579630992893,6.77144772289745,.670589177813294
"24",11.5,91.9021594825478,7.3566477166821,.741192800770099
"25",12.,91.1946407307446,7.98748503039447,.817874238860956
"26",12.5,90.4322594669135,8.666637019125,.901103513961504
"27",13.,89.6118411777625,9.39678183528033,.991376986957174
"28",13.5,88.7302195733055,10.1805625670275,1.08921785966709
"29",14.,87.784270206332,11.020554133201,1.1951756604671
"30",14.5,86.7709610909288,11.9192144494235,1.30982445964775
"31",15.,85.6873994080318,12.8788374556174,1.43376313635089
"32",15.5,84.5308883369273,13.9015001804073,1.56761148266543
"33",16.,83.2989970244688,14.9889938734532,1.71200910207798
"34",16.5,81.9896172778758,16.1427703009362,1.86761242118806
"35",17.,80.6010457612444,17.3638652687236,2.03508897003194
"36",17.5,79.1320575805471,18.6528266376618,2.21511578179121
"37",18.,77.5819749091644,20.00965303071,2.40837206012555
"38",18.5,75.9507576862708,21.4337094446726,2.61553286905664
"39",19.,74.2390619720702,22.9236722543288,2.83726577360099
"40",19.5,72.4483110664265,24.4774692331452,3.0742197004283
"41",20.,70.5807595668021,26.0922222561297,3.32701817706821
"42",20.5,68.6395213371995,27.7642239864148,3.5962546763857
"43",21.,66.6286181805876,29.488902601455,3.88247921795739
"44",21.5,64.5529766990753,31.2608329101329,4.18619039079184
"45",22.,62.4184082284923,33.0737601406204,4.50783163088729
"46",22.5,60.2316001989651,34.9206207600115,4.84777904102347
