time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
0,2.82,1,2.82,1,2.82,1.8199999999999998,0,1.8199999999999998,0,3.3123999999999993,0,3.3123999999999993,0
0.5,1.69,1.08751350886128,3.22980082536801,1.09303053170354,3.07956566705227,0.60248649113872,-1.53980082536801,0.5969694682964599,-1.38956566705227,0.36298997200464694,2.370986581804005,0.35637254607815805,1.9308927430504201
1,1.93,1.18254527616522,3.69720164986865,1.19459933936447,3.36241898286579,0.74745472383478,-1.7672016498686502,0.7354006606355299,-1.43241898286579,0.5586885641829271,3.1230016712984794,0.5408141316631738,2.0518241424742647
1.5,2.05,1.2857157317846,4.2296953409776,1.30546758487424,3.67053349315646,0.7642842682153999,-2.1796953409776005,0.7445324151257597,-1.6205334931564601,0.5841304426415492,4.751071779479458,0.5543285171729966,2.6261288024418787
2,3.76,1.3976915988493,4.83556450960617,1.42645964669157,4.00602750458177,2.3623084011507,-1.0755645096061706,2.33354035330843,-0.24602750458176992,5.580500982147176,1.156839014324362,5.445410580518831,0.06052953301073282
2.5,2.43,1.51918902982161,5.52390728961741,1.55846795769281,4.3711708100598,0.9108109701783902,-3.0939072896174102,0.8715320423071902,-1.9411708100597997,0.8295766233973004,9.57226231674775,0.759568100768142,3.7681441138282192
3,4.15,1.65097565351526,6.30464392602743,1.70245727754539,4.76839034174613,2.4990243464847404,-2.15464392602743,2.4475427224546102,-0.6183903417461298,6.2451226843234835,4.642490447966897,5.9904653782405255,0.38240661476489524
3.5,2.41,1.79387379101674,7.18849646806185,1.85946950922413,5.20027475056769,0.6161262089832602,-4.77849646806185,0.5505304907758701,-2.79027475056769,0.379611505396084,22.83402849527958,0.3030838212739204,7.785633183655584
4,4.68,1.94876217881189,8.1869322674262,2.03062848048225,5.6695786428551,2.7312378211881096,-3.506932267426201,2.6493715195177496,-0.9895786428551006,7.459660035888373,12.298573928315076,7.019169448431789,0.9792658903949426
4.5,3.96,2.11657909176274,9.31206163590319,2.21714436214278,6.17922402575262,1.8434209082372601,-5.35206163590319,1.74285563785722,-2.21922402575262,3.398200644926285,28.644563754506727,3.037545774410697,4.924955276477666
