time,infected
0,2.82
0.5,1.69
1,1.93
1.5,2.05
2,3.76
2.5,2.43
3,4.15
3.5,2.41
4,4.68
4.5,3.96
5,5.47
5.5,5.82
6,3.48
6.5,5.81
7,5.45
7.5,8.86
8,5.99
8.5,9.96
9,9.08
9.5,8.82
10,7.45
10.5,9.54
11,16.46
11.5,13.6
12,11.64
12.5,11.25
13,18.69
13.5,16.4
14,16.95
14.5,7.71
15,20.78
15.5,21.99
16,25.56
16.5,35.21
17,27.47
17.5,24.1
18,25.23
18.5,36.53
19,45.41
19.5,36.04
20,34.32
20.5,37.61
21,47.27
21.5,33.06
22,59.2
22.5,46.73
23,38.85
23.5,52.74
24,32.18
24.5,86.57
25,48.42
25.5,62.84
26,84.19
26.5,70.82
27,72.89
27.5,69.38
28,97.1
28.5,66.59
29,82.49
29.5,103.34
30,94.31
30.5,105.22
31,112.57
31.5,60.96
32,148.88
32.5,66.37
33,102.06
33.5,146.6
34,100.2
34.5,85.09
35,84.13
35.5,53.82
36,47.54
36.5,112.72
37,61.12
37.5,85.87
38,110.75
38.5,74.37
39,109.82
39.5,102.58
40,81.62
40.5,94.58
41,57.19
41.5,82.69
42,110.42
42.5,105.76
43,94.12
43.5,80.62
44,104.38
44.5,74.58
45,85.63
45.5,99.08
46,84.26
46.5,93.97
47,96.81
47.5,104.82
48,25.93
48.5,119.4
49,106.5
49.5,79.42
50,132.42
50.5,73.13
51,66.5
51.5,69.64
52,24.71
52.5,85.33
53,73.69
53.5,45.58
54,35.66
54.5,56.17
55,63.52
55.5,44
56,90.03
56.5,61.73
57,38.71
57.5,42.52
58,43.91
58.5,61.63
59,83.02
59.5,46.13
60,41.97
60.5,14.34
61,80.27
61.5,69.52
62,90.37
62.5,54
63,66.59
63.5,52.44
64,41.12
64.5,74.02
65,62.83
65.5,63.76
66,28.39
66.5,53.87
67,52.78
67.5,44.36
68,17.44
68.5,40.7
69,50.42
69.5,56.68
70,39.89
70.5,24.82
71,38.13
71.5,27
72,48.12
72.5,45.24
73,43.8
73.5,23.27
74,42.98
74.5,34.22
75,32.43
75.5,32.89
76,29.35
76.5,33.36
77,28.94
77.5,34.4
78,52.57
78.5,26.73
79,21.15
79.5,37.66
80,25.7
80.5,23.77
81,29.91
81.5,35.38
82,26.92
82.5,25.09
83,35.1
83.5,26.81
84,35.4
84.5,28.93
85,21.13
85.5,24.9
86,18.23
86.5,23.47
87,12.41
87.5,3.61
88,15.69
88.5,33.36
89,19.52
89.5,21.29
90,13.75
90.5,21.2
91,8.96
91.5,16.75
92,20.37
92.5,30
93,18.09
93.5,9.76
94,17.34
94.5,11.25
95,18.44
95.5,16.3
96,14.63
96.5,10.75
97,10.3
97.5,19.63
98,11.83
98.5,19.74
99,18.03
99.5,14.33
100,5.55
